,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,Enrichment_Term,score,significance_str,immune_related
45,prerank,KEGG_2021_Human__Oocyte meiosis,-0.47047091950617026,-1.6949319894091228,0.0017985611510791368,0.03983421466044946,0.381,25/55,25.78%,CALM2;CALM1;ANAPC13;ANAPC11;PGR;YWHAE;MAPK3;YWHAQ;YWHAB;PPP2R5E;IGF1R;RBX1;CDC26;PPP3CA;SMC3;ITPR3;ANAPC5;MAPK1;PPP3R1;YWHAZ;YWHAG;ANAPC1;CAMK2G;PRKACA;MAPK14,KEGG_2021_Human,Oocyte meiosis,1.399743740617036,*,False
46,prerank,KEGG_2021_Human__Estrogen signaling pathway,-0.4807606048942356,-1.6845030467099464,0.003430531732418525,0.04111850171505392,0.408,21/52,26.38%,CTSD;CALM2;CALM1;HSP90AB1;GNAQ;MMP2;HSP90AA1;HSPA8;GNAI1;PGR;MAPK3;GNAS;ATF4;FOS;ITPR3;MAPK1;CREB1;GRB2;HRAS;PRKACA;EBAG9,KEGG_2021_Human,Estrogen signaling pathway,1.3859627186416565,*,False
47,prerank,KEGG_2021_Human__Phosphatidylinositol signaling system,-0.5134415827883296,-1.6774732530612957,0.00333889816360601,0.041387996449689345,0.436,15/35,21.53%,CALM2;CALM1;INPP5A;DGKZ;ITPKB;CDS2;DGKE;PTEN;PIK3C2A;ITPR3;IMPA1;CDIPT;PIP4K2A;BPNT2;PLCG1,KEGG_2021_Human,Phosphatidylinositol signaling system,1.3831255968392706,*,False
50,prerank,KEGG_2021_Human__Endocrine and other factor-regulated calcium reabsorption,-0.5782146413958724,-1.6708586293317,0.0053475935828877,0.04123360794069481,0.457,12/20,25.82%,ATP2B4;GNAQ;ATP2B1;GNAS;CLTC;AP2A2;AP2M1;RAB11A;ATP1A1;AP2S1;PRKACA;AP2B1,KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,1.3847486627688443,*,True
52,prerank,KEGG_2021_Human__Coronavirus disease,-0.39294390271896046,-1.6554142031994856,0.0,0.04577470841198605,0.504,50/131,12.59%,NRP1;RPS16;RPS27A;RPL26;RPS29;RPL31;RPL3;FAU;RPS8;RPS15;RPL12;RPL30;RPS20;RPS23;RPS13;RPL35;IFNAR2;RPL27A;RPL13A;RPS18;RPS28;RPL37A;RPL22;RPS25;RPLP2;RPL18;RPS17;RPS19;RPL28;UBA52;RPL7A;RPS21;RPL34;RPL36;MAPK3;RPS7;RPL39;RPL37;RPS4Y2;RPL23A;RPL21;RPL9;RPS24;RPS3;RPL7;FOS;RPL5;RPL36AL;RPL38;RPL23,KEGG_2021_Human,Coronavirus disease,1.3393744135029189,*,True
53,prerank,KEGG_2021_Human__Insulin secretion,-0.6053504672861862,-1.6492736243023716,0.02029520295202952,0.045771652078380395,0.523,10/17,25.67%,GNAQ;GNA11;GNAS;ATF4;ITPR3;VAMP2;CREB1;ATP1A1;CAMK2G;PRKACA,KEGG_2021_Human,Insulin secretion,1.3394034118992106,*,False
55,prerank,KEGG_2021_Human__Circadian entrainment,-0.5470443382768749,-1.643740319881831,0.007259528130671506,0.046230781304475256,0.549,15/26,25.67%,GNG5;CALM2;CALM1;GNAQ;GNAI1;MAPK3;GNG12;GNAS;GNB2;FOS;ITPR3;MAPK1;CREB1;CAMK2G;PRKACA,KEGG_2021_Human,Circadian entrainment,1.3350687668830292,*,False
56,prerank,KEGG_2021_Human__Morphine addiction,-0.559340801344555,-1.6336360162147359,0.018484288354898338,0.049573087645168955,0.585,11/22,25.74%,GNG5;GNAI1;GNG12;GNAS;PDE8B;GRK5;GNB2;ARRB2;ARRB1;PRKACA;GRK2,KEGG_2021_Human,Morphine addiction,1.3047540303484737,*,False
59,prerank,KEGG_2021_Human__Axon guidance,-0.43344301326373114,-1.6268284616550726,0.0050335570469798654,0.05058598877401773,0.609,27/68,20.28%,NRP1;BMPR2;SEMA6A;PLXNA1;SEMA3C;ARHGEF12;CXCL12;SEMA3G;RAC1;DPYSL2;SEMA6D;CXCR4;GNAI1;ROCK1;MAPK3;EPHA4;NTN4;GSK3B;PPP3CA;ITGB1;SRGAP2;RHOA;EFNB2;MAPK1;EPHB4;PPP3R1;PAK4,KEGG_2021_Human,Axon guidance,1.295969756692958,ns,False
61,prerank,KEGG_2021_Human__Thermogenesis,-0.38313450201385846,-1.6196381710547365,0.0,0.05166077031740277,0.635,57/136,27.84%,NDUFA4;NDUFS5;NDUFA13;ATP5F1E;NDUFA3;ND4;CYTB;COX1;NDUFA2;NDUFC2-KCTD14;ATP5F1D;NDUFA1;NDUFB10;ATP5ME;ND1;NDUFB5;NDUFB4;NDUFB8;ATP5MC2;ATP5F1C;NDUFA7;TSC2;NDUFS7;GNAS;MGLL;NDUFS8;NDUFB1;NDUFB3;ATP5MG;NDUFB11;NDUFB2;NDUFC1;NDUFA8;NDUFA12;ND5;ATP5PB;NPR1;COX2;NDUFB7;ACSL4;SDHD;NDUFA11;ND6;ARID1A;NDUFA5;CREB1;NDUFV3;GRB2;NDUFAB1;ARID1B;HRAS;PRKACA;MAPK14;NDUFA10;SDHB;SMARCA2;NDUFB6,KEGG_2021_Human,Thermogenesis,1.2868391223186615,ns,False
62,prerank,KEGG_2021_Human__N-Glycan biosynthesis,-0.5060697026372821,-1.5880440065379884,0.023985239852398525,0.06616573268342799,0.721,12/27,28.61%,DPM2;ALG2;MAN1C1;RPN2;DAD1;FUT8;RPN1;MAN2A1;GANAB;DPM3;MAN1A2;DPAGT1,KEGG_2021_Human,N-Glycan biosynthesis,1.179366873997802,ns,False
63,prerank,KEGG_2021_Human__Alcoholism,-0.44669479371458287,-1.5843092812588722,0.005434782608695652,0.0653130518485585,0.732,22/51,27.95%,GNG5;CALM2;CALM1;MAOA;HDAC7;GNAI1;MAPK3;GNG12;GNAS;ATF4;SLC29A1;NPY;GNB2;MAPK1;CAMKK2;HDAC5;CREB1;GRB2;HRAS;PRKACA;H2AZ2;FOSB,KEGG_2021_Human,Alcoholism,1.185000022715703,ns,False
65,prerank,KEGG_2021_Human__Cholinergic synapse,-0.48912061159670417,-1.5828106839170746,0.013793103448275862,0.063561551219065,0.741,15/34,25.67%,GNG5;GNAQ;GNAI1;GNA11;MAPK3;GNG12;ATF4;GNB2;FOS;ITPR3;MAPK1;CREB1;CAMK2G;HRAS;PRKACA,KEGG_2021_Human,Cholinergic synapse,1.1968055123825398,ns,False
66,prerank,KEGG_2021_Human__Salivary secretion,-0.5455112255141108,-1.577772572021612,0.01838235294117647,0.06451064468140963,0.759,13/22,27.29%,CALM2;CALM1;ADRB1;ATP2B4;GNAQ;ATP2B1;GNAS;ITPR3;CST5;VAMP2;ATP1A1;PRKACA;SLC12A2,KEGG_2021_Human,Salivary secretion,1.1903686180008535,ns,False
67,prerank,KEGG_2021_Human__cGMP-PKG signaling pathway,-0.4301477990347388,-1.5754514615549493,0.00718132854578097,0.06356421571502892,0.766,29/64,26.88%,CALM2;CALM1;ADRB1;GTF2I;ATP2B4;GNAQ;GNAI1;GNA11;ROCK1;ATP2B1;MAPK3;SLC25A4;PPP1R12A;ATF4;PDE5A;PRKCE;EDNRB;PPP3CA;ITPR3;NPR1;RHOA;MAPK1;PPP3R1;GNA12;CREB1;ATP1A1;BAD;NFATC3;MEF2C,KEGG_2021_Human,cGMP-PKG signaling pathway,1.1967873071685653,ns,False
68,prerank,KEGG_2021_Human__Cell adhesion molecules,-0.5011130390644093,-1.5569780915372822,0.02040816326530612,0.0726021860246105,0.812,11/28,10.75%,CDH5;CD34;CADM1;F11R;VSIR;SDC3;PTPRM;ESAM;PECAM1;NECTIN3;JAM2,KEGG_2021_Human,Cell adhesion molecules,1.139050302658959,ns,False
70,prerank,KEGG_2021_Human__Glutamatergic synapse,-0.4961871241734268,-1.5326274840982537,0.017889087656529516,0.08829835110572176,0.871,15/29,25.74%,GNG5;GNAQ;GNAI1;MAPK3;SHANK3;GNG12;GNAS;GNB2;PPP3CA;ITPR3;MAPK1;PPP3R1;HOMER3;PRKACA;GRK2,KEGG_2021_Human,Glutamatergic synapse,1.0540474064153256,ns,False
72,prerank,KEGG_2021_Human__Cushing syndrome,-0.4178985790509486,-1.526911140726532,0.008944543828264758,0.09001218641113858,0.876,35/57,36.77%,AHR;RAP1A;CCND1;GNAQ;GNAI1;GNA11;SCARB1;MAPK3;FZD6;CDK6;GNAS;ATF4;NR4A1;PDE8B;GSK3B;ITPR3;AXIN2;MAPK1;KMT2A;APC;CREB1;CAMK2G;CDKN1B;PRKACA;CTNNB1;TCF7;CDK4;PBX1;KMT2D;SP1;ATF2;USP8;ASH2L;CDK2;NCEH1,KEGG_2021_Human,Cushing syndrome,1.045698689084783,ns,False
74,prerank,KEGG_2021_Human__Other types of O-glycan biosynthesis,-0.5819599093165276,-1.5188666954939682,0.04861111111111111,0.09296959317273595,0.886,8/15,27.61%,LFNG;MFNG;EOGT;OGT;GALNT18;COLGALT1;C1GALT1C1;POFUT2,KEGG_2021_Human,Other types of O-glycan biosynthesis,1.0316590694736933,ns,False
75,prerank,KEGG_2021_Human__Various types of N-glycan biosynthesis,-0.5261102004645859,-1.5091857883019737,0.04436229205175601,0.09702340890311774,0.903,9/20,25.77%,ALG2;MAN1C1;RPN2;DAD1;FUT8;RPN1;MAN2A1;HEXB;MAN1A2,KEGG_2021_Human,Various types of N-glycan biosynthesis,1.0131234705695196,ns,False
77,prerank,KEGG_2021_Human__Thyroid hormone synthesis,-0.5113004130693701,-1.4755544032892975,0.05565529622980251,0.12438666508319479,0.951,11/21,29.41%,GNAQ;GNAS;GPX1;ATF4;CANX;ITPR3;CREB1;ATP1A1;GPX7;PRKACA;PDIA4,KEGG_2021_Human,Thyroid hormone synthesis,0.9052261758445748,ns,False
81,prerank,KEGG_2021_Human__Long-term potentiation,-0.45614653030743707,-1.4514283221962148,0.04576271186440678,0.14472573168334046,0.968,14/29,25.67%,CALM2;CALM1;RAP1A;GNAQ;MAPK3;ATF4;PPP3CA;ITPR3;EP300;MAPK1;PPP3R1;CAMK2G;HRAS;PRKACA,KEGG_2021_Human,Long-term potentiation,0.8394542461126254,ns,False
83,prerank,KEGG_2021_Human__Vascular smooth muscle contraction,-0.41483718432780603,-1.4422377570243017,0.04285714285714286,0.15112958413272926,0.978,18/45,19.32%,CALCRL;CALM2;CALM1;ARHGEF12;CALD1;MYL6;GNAQ;GNA11;ROCK1;RAMP3;MAPK3;PPP1R12A;GNAS;PRKCE;ITPR3;NPR1;RHOA;MAPK1,KEGG_2021_Human,Vascular smooth muscle contraction,0.8206505127094716,ns,False
84,prerank,KEGG_2021_Human__Non-alcoholic fatty liver disease,-0.36544587421147007,-1.4409511247207862,0.012658227848101266,0.14856924980935834,0.978,33/98,17.15%,NDUFA4;NDUFS5;NDUFA13;NDUFA3;RAC1;CYTB;COX1;NDUFA2;NDUFC2-KCTD14;NDUFA1;NDUFB10;NDUFB5;NDUFB4;NDUFB8;NDUFA7;NDUFS7;ATF4;MAP3K11;NDUFS8;NDUFB1;NDUFB3;NDUFB11;NDUFB2;FOS;NDUFC1;NDUFA8;GSK3B;NDUFA12;RXRA;LEPR;COX2;NDUFB7;SDHD,KEGG_2021_Human,Non-alcoholic fatty liver disease,0.8280710695798787,ns,False
85,prerank,KEGG_2021_Human__Progesterone-mediated oocyte maturation,-0.4359134368665325,-1.439554127166724,0.06942148760330578,0.146197340878438,0.978,24/37,42.14%,ANAPC13;ANAPC11;HSP90AB1;HSP90AA1;GNAI1;PGR;MAPK3;IGF1R;CDC26;ANAPC5;MAPK1;ANAPC1;PRKACA;MAPK14;RPS6KA3;CPEB2;CDK2;FZR1;ANAPC4;KRAS;GNAI2;ANAPC2;PRKACB;MAPK12,KEGG_2021_Human,Progesterone-mediated oocyte maturation,0.835060526504858,ns,False
86,prerank,KEGG_2021_Human__GnRH signaling pathway,-0.44001311869420595,-1.4374187947741324,0.041666666666666664,0.1443805387025419,0.979,19/36,33.69%,CALM2;CALM1;GNAQ;MMP2;GNA11;MAPK3;GNAS;ATF4;ITPR3;MAPK1;GRB2;CAMK2G;HRAS;PRKACA;MAPK14;MAP3K2;JUN;PLD2;CDC42,KEGG_2021_Human,GnRH signaling pathway,0.8404913421105376,ns,False
87,prerank,KEGG_2021_Human__Amphetamine addiction,-0.477372820007825,-1.4356523091415379,0.05027932960893855,0.1422874501518883,0.979,15/25,34.59%,CALM2;CALM1;MAOA;GNAS;ATF4;FOS;PPP3CA;PPP3R1;CREB1;CAMK2G;PRKACA;FOSB;JUN;ATF2;HDAC2,KEGG_2021_Human,Amphetamine addiction,0.8468334032898404,ns,False
90,prerank,KEGG_2021_Human__Cholesterol metabolism,-0.5060537516962451,-1.4285375745602167,0.05892857142857143,0.14637675027334124,0.985,10/20,26.80%,CD36;SCARB1;NPC2;VAPA;LPL;LDLRAP1;APOE;TSPO;LIPA;VAPB,KEGG_2021_Human,Cholesterol metabolism,0.8345278988913357,ns,False
93,prerank,KEGG_2021_Human__Adrenergic signaling in cardiomyocytes,-0.39697312545929064,-1.4191339203355302,0.043782837127845885,0.15263085519983,0.986,11/51,9.70%,CALM2;CALM1;ADRB1;ATP2B4;GNAQ;GNAI1;ATP2B1;MAPK3;GNAS;ATF4;PPP2R5E,KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,0.8163576623938182,ns,False
94,prerank,KEGG_2021_Human__Rap1 signaling pathway,-0.36414272806892856,-1.4136421973800022,0.03046594982078853,0.15549790484716194,0.987,28/86,19.32%,KDR;HGF;TEK;CALM2;CALM1;RALA;RASGRP3;RAC1;RAP1A;GNAQ;AFDN;GNAI1;KITLG;MAPK3;PDGFB;SIPA1L1;GNAS;FLT1;MAGI3;P2RY1;IGF1R;RAPGEF5;RAPGEF2;KIT;FLT4;ITGB1;RHOA;MAPK1,KEGG_2021_Human,Rap1 signaling pathway,0.8082754582091456,ns,False
95,prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,-0.3266139534967303,-1.4115417826342975,0.01607142857142857,0.15375512023968765,0.989,57/160,27.84%,NDUFA4;ATP6V1G1;ATP5F1E;NDUFA3;NDUFA2;ATP5F1D;NDUFA1;MGST3;ATP6V0C;ATP5ME;NDUFB5;IDH2;NDUFB4;NDUFB8;SLC25A4;ATP5MC2;MRPL34;ATP5F1C;NDUFA7;NDUFS7;OGDH;POLR2F;LDHB;NDUFS8;NDUFB1;NDUFB3;ATP5MG;NDUFB2;NDUFC1;NDUFA8;ATP6V1E1;MPC1;ATP5PB;MDH1;TIMM13;ETFB;NDUFB7;SDHD;NNT;ACADM;ACAT1;SLC25A11;ECH1;NDUFA5;ECHS1;ATP6V0B;ISCU;MRPL15;MRPS11;NDUFAB1;GPX4;TOMM22;SUCLG1;MRPL11;ATP6AP1;SDHB;NDUFB6,MSigDB_Hallmark_2020,Oxidative Phosphorylation,0.8131704127569939,ns,False
96,prerank,KEGG_2021_Human__RNA polymerase,-0.5142103462796455,-1.4011052216032134,0.0798611111111111,0.16090928305063903,0.994,8/17,27.42%,POLR2L;POLR2K;POLR2F;POLR2J3;POLR1F;POLR2I;POLR2B;POLR2C,KEGG_2021_Human,RNA polymerase,0.79341890020568,ns,False
97,prerank,KEGG_2021_Human__Fluid shear stress and atherosclerosis,-0.3684328771544614,-1.4000350738824519,0.026041666666666668,0.15844255690554743,0.994,20/74,14.77%,CDH5;KDR;BMPR2;THBD;CALM2;CALM1;TXN;CAV1;HSP90AB1;RAC1;MMP2;MGST3;HSP90AA1;PECAM1;PDGFB;ACVR2A;NFE2L2;FOS;BMP4;GSTM3,KEGG_2021_Human,Fluid shear stress and atherosclerosis,0.8001281576776799,ns,False
98,prerank,KEGG_2021_Human__Synaptic vesicle cycle,-0.4449547547113801,-1.3958701011789472,0.07958477508650519,0.15931838480311472,0.994,15/28,25.82%,ATP6V1G1;SLC6A4;ATP6V0C;CLTC;ATP6V1E1;AP2A2;AP2M1;ATP6V1A;UNC13B;STXBP1;VAMP2;ATP6V0B;ATP6V0A1;AP2S1;AP2B1,KEGG_2021_Human,Synaptic vesicle cycle,0.797734105191722,ns,False
99,prerank,KEGG_2021_Human__Cortisol synthesis and secretion,-0.4834594299015531,-1.3958020297122555,0.08363636363636363,0.15598144728968133,0.994,16/21,41.21%,GNAQ;GNA11;SCARB1;GNAS;ATF4;NR4A1;PDE8B;ITPR3;CREB1;PRKACA;PBX1;SP1;ATF2;NCEH1;PLCB3;PRKACB,KEGG_2021_Human,Cortisol synthesis and secretion,0.8069270543306275,ns,False
101,prerank,KEGG_2021_Human__Neuroactive ligand-receptor interaction,-0.4465378086093341,-1.3801292751255807,0.08765652951699464,0.17059803903054285,0.996,12/27,15.58%,APLNR;CALCRL;ADRB1;APLN;THRA;NPW;S1PR4;P2RY1;TBXA2R;NPY;EDNRB;LEPR,KEGG_2021_Human,Neuroactive ligand-receptor interaction,0.768025965214856,ns,False
102,prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.3356389665390317,-1.3733422784837956,0.023423423423423424,0.17447386021276864,0.996,55/113,34.35%,MARCKS;RALBP1;ARHGEF12;ARHGAP29;MID1IP1;WASF2;EPB41L2;ROCK1;YWHAE;KIF1B;PREX1;VCL;MAP3K11;ABI1;SPTBN1;NF1;ACTN4;ARHGEF7;RAPGEF5;SMC3;WASL;KIF5B;DST;ARHGAP5;CDC42BPA;APC;TRIO;MYO1E;ARHGEF3;ARAP3;PCGF5;RASA1;NUMA1;SMC4;CKAP5;NIN;RABGAP1;RFC1;GSN;ALS2;KIFAP3;HOOK3;SPTAN1;ARHGAP27;TUBGCP5;CDC42EP1;RASAL2;SUN2;CAPZB;PCM1;TBCD;DLG1;CDC42;EPB41;NCK2,MSigDB_Hallmark_2020,Mitotic Spindle,0.7582696301129367,ns,False
103,prerank,KEGG_2021_Human__Renin secretion,-0.4418765955478834,-1.367196302537964,0.0812274368231047,0.1777164430459094,0.997,13/27,25.67%,CALM2;CALM1;ADRB1;GNAQ;GNAI1;GNAS;AQP1;PPP3CA;ITPR3;NPR1;PPP3R1;CREB1;PRKACA,KEGG_2021_Human,Renin secretion,0.7502723876492227,ns,False
104,prerank,KEGG_2021_Human__TGF-beta signaling pathway,-0.4037698736639136,-1.366716235772052,0.06713780918727916,0.17477729301313863,0.997,19/41,27.82%,BMPR2;ID3;ROCK1;MAPK3;SMAD6;ACVR2A;TGFBR2;RBX1;ID4;BMP4;ID2;EP300;RHOA;MAPK1;SMAD5;BAMBI;TGFB1;ZFYVE9;ZFYVE16,KEGG_2021_Human,TGF-beta signaling pathway,0.7575149913793552,ns,True
105,prerank,KEGG_2021_Human__Long-term depression,-0.4570555464632925,-1.3548819552655844,0.10387323943661972,0.18600438812905937,0.997,10/23,25.60%,GNAQ;GNAI1;GNA11;MAPK3;GNAS;IGF1R;ITPR3;MAPK1;GNA12;HRAS,KEGG_2021_Human,Long-term depression,0.7304768099876938,ns,False
106,prerank,KEGG_2021_Human__Serotonergic synapse,-0.43348192921692674,-1.353299529085567,0.09352517985611511,0.18469753122628998,0.997,10/30,15.25%,GNG5;MAOA;SLC6A4;GNAQ;GNAI1;MAPK3;GNG12;GNAS;GNB2;ITPR3,KEGG_2021_Human,Serotonergic synapse,0.7335389095514475,ns,False
107,prerank,MSigDB_Hallmark_2020__Estrogen Response Late,-0.3553849670592159,-1.3526828038566587,0.061224489795918366,0.18187145620524817,0.997,24/70,18.63%,EMP2;TSPAN13;SGK1;CAV1;CXCL12;ATP2B4;CCND1;KLF4;SCARB1;PGR;IDH2;CD9;PRKAR2B;SLC29A1;FOS;CKB;CPE;ADD3;JAK1;ID2;ETFB;SERPINA1;UNC13B;PDCD4,MSigDB_Hallmark_2020,Estrogen Response Late,0.7402354558858247,ns,False
109,prerank,KEGG_2021_Human__Oxytocin signaling pathway,-0.3791176213384736,-1.349258476120327,0.07719928186714542,0.18278323890377446,0.997,24/52,26.88%,CALM2;CALM1;MYL6;CCND1;GNAQ;GNAI1;ROCK1;MAPK3;PPP1R12A;GNAS;EEF2;FOS;PPP3CA;ITPR3;NPR1;RHOA;MAPK1;CAMKK2;PPP3R1;CAMK2G;HRAS;PRKACA;NFATC3;MEF2C,KEGG_2021_Human,Oxytocin signaling pathway,0.738063631279115,ns,False
112,prerank,KEGG_2021_Human__Vibrio cholerae infection,-0.4060038336817745,-1.3142069077374776,0.10307414104882459,0.22551518712432794,0.999,16/32,27.29%,TJP1;ATP6V1G1;SEC61G;ATP6V0C;ARF1;TJP2;GNAS;SEC61B;ATP6V1E1;ATP6V1A;PLCG1;ATP6V0B;ATP6V0A1;PRKACA;ATP6AP1;SLC12A2,KEGG_2021_Human,Vibrio cholerae infection,0.6468242056166357,ns,True
116,prerank,KEGG_2021_Human__Ras signaling pathway,-0.3252506411285718,-1.2997581760321906,0.0547945205479452,0.24420105509232057,1.0,23/93,11.79%,KDR;HGF;GNG5;TEK;CALM2;CALM1;RALA;RASGRP3;RALBP1;RAC1;RAP1A;ETS1;AFDN;ETS2;KITLG;STK4;MAPK3;PDGFB;GNG12;FLT1;RASA4B;IGF1R;GNB2,KEGG_2021_Human,Ras signaling pathway,0.6122524639792493,ns,False
