,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,Enrichment_Term,score,significance_str,immune_related,dataset
48,prerank,KEGG_2021_Human__Axon guidance,-0.4367323811693297,-1.6961164449872503,0.0,0.046000453206435525,0.172,60/151,20.79%,RHOD;PPP3CA;PPP3CB;MET;GSK3B;RASA1;NRAS;CXCL12;EPHA3;SHH;ROBO1;PLXNA4;PIK3CA;UNC5B;NTN1;SEMA4G;ROCK1;SEMA3G;PAK6;EPHA7;SEMA6C;EPHA4;PRKCZ;RYK;KRAS;SEMA6A;ROCK2;EFNB1;PPP3CC;RGS3;PLXNA2;NGEF;NRP1;EFNA1;PAK4;PLCG1;EPHA2;SEMA5B;PTCH1;NCK2;PARD3;PLXNA3;SEMA3C;SEMA6D;PTK2;EFNB2;RHOA;CAMK2G;PPP3R1;ARHGEF12;EFNA4;PARD6G;ENAH;BMPR2;ROBO2;SRGAP1;SEMA6B;PLXNA1;UNC5C;NCK1,KEGG_2021_Human,Axon guidance,1.3372378895339796,*,False,Goldhamster
53,prerank,KEGG_2021_Human__Protein digestion and absorption,-0.49733916866598493,-1.6834375355870885,0.005050505050505051,0.049437268675881864,0.198,20/55,20.67%,SLC1A1;COL15A1;SLC36A4;ATP1A1;COL6A3;DPP4;KCNJ13;COL4A2;KCNQ1;COL1A1;COL13A1;COL18A1;SLC38A2;COL6A5;COL4A1;COL5A3;MME;SLC16A10;ACE2;COL16A1,KEGG_2021_Human,Protein digestion and absorption,1.3059455312800803,*,False,Goldhamster
58,prerank,KEGG_2021_Human__Proximal tubule bicarbonate reclamation,-0.6274627280845155,-1.6402351982999896,0.003134796238244514,0.07113597936167616,0.292,5/18,6.20%,CA4;SLC4A4;GLS;ATP1A1;CA2,KEGG_2021_Human,Proximal tubule bicarbonate reclamation,1.1479106849807583,ns,False,Goldhamster
59,prerank,KEGG_2021_Human__cGMP-PKG signaling pathway,-0.4351699819011501,-1.6393305094691935,0.0,0.06641092874947396,0.294,33/124,18.16%,ADRB2;PPP3CA;GTF2I;PPP3CB;GNAQ;ADRB1;AKT3;ATP2B1;ATP2B4;ITPR2;ATP1A1;ROCK1;PLCB1;NPR1;ROCK2;PPP3CC;KNG1;CREB1;ITPR3;CREB3L1;GTF2IRD1;SLC25A4;ADCY4;RHOA;MYLK3;PPP3R1;EDNRB;GNA12;EDNRA;PPP1R12A;GNA11;PLCB3;AKT1,KEGG_2021_Human,cGMP-PKG signaling pathway,1.1777604461585178,ns,False,Goldhamster
60,prerank,KEGG_2021_Human__Gastric cancer,-0.44085964499024705,-1.6236003300004926,0.0,0.07245260216028401,0.333,33/111,13.85%,FRAT2;SOS2;CCND1;FZD8;MET;FGF1;GSK3B;LRP6;CDH1;AKT3;NRAS;CTNNB1;SHH;APC;FZD5;FZD6;CDH17;FGFR2;PIK3CA;AXIN2;WNT16;SMAD2;KRAS;CTNNA1;CSNK1A1L;E2F2;SMAD4;BRAF;FGF18;FRAT1;DVL1;WNT2;BCL2,KEGG_2021_Human,Gastric cancer,1.1399460120760627,ns,False,Goldhamster
63,prerank,KEGG_2021_Human__Melanogenesis,-0.4670088311231595,-1.6174026967851056,0.006896551724137931,0.071974847042828,0.353,40/79,27.22%,FZD8;GNAQ;GSK3B;NRAS;CTNNB1;FZD5;FZD6;PLCB1;WNT16;KRAS;GNAO1;CREB1;CREB3L1;DVL1;WNT2;KITLG;ADCY4;MITF;FZD1;CAMK2G;EDNRB;PLCB3;WNT11;DVL2;FZD9;LEF1;FZD2;MC1R;CAMK2B;ADCY2;GNAI1;WNT5A;TCF7L1;ADCY8;PRKCA;MAPK3;ADCY1;MAPK1;ADCY3;CREB3L2,KEGG_2021_Human,Melanogenesis,1.1428192493887668,ns,False,Goldhamster
67,prerank,KEGG_2021_Human__Hedgehog signaling pathway,-0.5032869284913392,-1.6056161358169754,0.004048582995951417,0.0743391850281921,0.377,15/45,20.76%,TPTEP2-CSNK1E;CCND1;GSK3B;SHH;CSNK1G1;MOSMO;SPOPL;CSNK1A1L;PTCH1;DHH;BCL2;KIF3A;KIF7;HHAT;MEGF8,KEGG_2021_Human,Hedgehog signaling pathway,1.1287822043339055,ns,False,Goldhamster
72,prerank,KEGG_2021_Human__Circadian rhythm,-0.5483554886194628,-1.595135147354509,0.010714285714285714,0.0771332175139109,0.403,8/29,10.35%,TPTEP2-CSNK1E;RORA;NPAS2;FBXL3;ARNTL;CLOCK;CRY1;CREB1,KEGG_2021_Human,Circadian rhythm,1.1127585522185448,ns,False,Goldhamster
74,prerank,KEGG_2021_Human__Breast cancer,-0.43157084732421824,-1.5869909700054166,0.0,0.07884599329731536,0.428,31/114,13.51%,FRAT2;CDK6;SOS2;JUN;CCND1;FZD8;FGF1;GSK3B;ESR1;LRP6;NCOA1;AKT3;NRAS;CTNNB1;APC;FZD5;FZD6;PIK3CA;AXIN2;WNT16;KRAS;PTEN;CSNK1A1L;E2F2;BRAF;NOTCH4;FGF18;FRAT1;DVL1;WNT2;JAG2,KEGG_2021_Human,Breast cancer,1.103220371239057,ns,False,Goldhamster
86,prerank,"KEGG_2021_Human__Parathyroid hormone synthesis, secretion and action",-0.4265859110919115,-1.5233041832581657,0.0,0.13024019941083162,0.616,26/87,17.90%,PDE4D;GNAQ;SLC34A2;LRP6;JUND;ITPR2;MMP15;GCM1;PLCB1;SOST;NR4A2;AKAP13;CREB1;MMP16;ITPR3;GATA3;CREB3L1;BRAF;BCL2;ADCY4;RHOA;EGR1;HBEGF;GNA12;GNA11;PLCB3,KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",0.885254947505876,ns,False,Goldhamster
88,prerank,KEGG_2021_Human__Prostate cancer,-0.43083658251594625,-1.5191126928422873,0.007042253521126761,0.12890485902042667,0.633,24/85,14.84%,SOS2;CCND1;ETV5;GSK3B;AKT3;NRAS;CTNNB1;PDGFA;FGFR2;PIK3CA;PDGFB;KRAS;PTEN;MDM2;CREB1;E2F2;CREB3L1;BRAF;FOXO1;TMPRSS2;SPINT1;BCL2;ZEB1;SOS1,KEGG_2021_Human,Prostate cancer,0.8897307117700586,ns,True,Goldhamster
90,prerank,MSigDB_Hallmark_2020__Myogenesis,-0.387454236124453,-1.5155950555950306,0.0,0.12689780194878766,0.645,56/155,26.36%,APOD;APLNR;COL15A1;PPP1R3C;CSRP3;CRAT;KLF5;SVIL;CD36;COL6A3;SLC6A8;GNAO1;COL4A2;REEP1;DAPK2;COL1A1;PICK1;ITGA7;ATP6AP1;AK1;SPARC;MAPK12;MRAS;PYGM;SH2B1;TEAD4;FST;HSPB8;NQO1;HBEGF;ADAM12;PFKM;LPIN1;CHRNA1;EIF4A2;TSC2;CNN3;GSN;WWTR1;KIFC3;FGF2;PSEN2;MAPRE3;PPFIA4;RB1;CAMK2B;SORBS3;SGCG;LARGE1;NAV2;ACTC1;SORBS1;IGFBP7;COL6A2;SPTAN1;CHRNB1,MSigDB_Hallmark_2020,Myogenesis,0.8965459004409921,ns,False,Goldhamster
91,prerank,KEGG_2021_Human__Cortisol synthesis and secretion,-0.46899170772645726,-1.5072101172969856,0.023474178403755867,0.1291835387540764,0.664,25/45,28.70%,GNAQ;ITPR2;PLCB1;CREB1;ITPR3;CREB3L1;ADCY4;PDE8B;GNA11;PLCB3;NCEH1;PBX1;ORAI1;ADCY2;ATF2;ADCY8;ADCY1;ADCY3;CREB5;CREB3L2;NR4A1;KCNK3;SCARB1;AGT;CACNA1C,KEGG_2021_Human,Cortisol synthesis and secretion,0.8887928229023427,ns,False,Goldhamster
92,prerank,KEGG_2021_Human__Hepatocellular carcinoma,-0.3954474728680387,-1.498566249030194,0.0,0.1334598534632525,0.688,34/135,13.39%,FRAT2;PBRM1;CDK6;SOS2;CCND1;FZD8;MET;GSK3B;TXNRD1;LRP6;AKT3;NRAS;ARID1A;CTNNB1;APC;FZD5;FZD6;PIK3CA;ARID1B;AXIN2;WNT16;SMAD2;KRAS;PTEN;CSNK1A1L;ARID2;ELK1;PLCG1;E2F2;SMAD4;BRAF;FRAT1;DVL1;WNT2,KEGG_2021_Human,Hepatocellular carcinoma,0.8746493563332602,ns,False,Goldhamster
94,prerank,KEGG_2021_Human__Renin secretion,-0.459808949309227,-1.4939305401765473,0.03333333333333333,0.13250849762066622,0.695,12/48,10.67%,ADRB2;PPP3CA;PPP3CB;GNAQ;ADRB1;ITPR2;PLCB1;NPR1;EDN3;PPP3CC;CREB1;ITPR3,KEGG_2021_Human,Renin secretion,0.8777562700182732,ns,False,Goldhamster
95,prerank,KEGG_2021_Human__Mannose type O-glycan biosynthesis,-0.582347626361249,-1.4908057278998843,0.06741573033707865,0.1311509700360822,0.702,8/17,17.98%,B3GALNT2;CRPPA;POMGNT1;B4GAT1;FUT4;LARGE2;POMGNT2;ST3GAL3,KEGG_2021_Human,Mannose type O-glycan biosynthesis,0.882228492875688,ns,False,Goldhamster
96,prerank,KEGG_2021_Human__Central carbon metabolism in cancer,-0.44387289389474727,-1.487379017268068,0.019417475728155338,0.13026327936819668,0.713,17/59,18.23%,HKDC1;FGFR3;MET;AKT3;NRAS;GLS;FGFR2;PIK3CA;LDHB;KRAS;PTEN;IDH1;GLS2;ERBB2;PFKM;AKT1;SIRT6,KEGG_2021_Human,Central carbon metabolism in cancer,0.885177992693607,ns,False,Goldhamster
97,prerank,KEGG_2021_Human__Glycerophospholipid metabolism,-0.4275749876138243,-1.4862066203216335,0.006369426751592357,0.12667929170308503,0.718,22/75,17.20%,CRLS1;SELENOI;MBOAT2;LPCAT1;PLA2G12A;GNPAT;AGPAT2;GPAM;DGKH;LPIN3;DGKE;PLPP2;PLPP5;LCLAT1;CHKB;GPAT4;DGKA;PLPP3;GPD2;DGKZ;GPAT3;LPIN1,KEGG_2021_Human,Glycerophospholipid metabolism,0.8972943735469024,ns,False,Goldhamster
100,prerank,KEGG_2021_Human__Cysteine and methionine metabolism,-0.47002577060848555,-1.4795675279314688,0.008547008547008548,0.12824179344726006,0.736,19/40,26.35%,AMD1;MAT2A;BCAT1;AHCYL2;LDHB;DNMT3A;MTR;ADI1;TST;MAT1A;GCLC;GSS;BCAT2;AHCYL1;MAT2B;BHMT;CDO1;DNMT3B;GOT1,KEGG_2021_Human,Cysteine and methionine metabolism,0.8919704170512736,ns,False,Goldhamster
101,prerank,KEGG_2021_Human__Regulation of lipolysis in adipocytes,-0.4719583886553709,-1.4652695891148835,0.026785714285714284,0.14008610922275094,0.773,6/41,7.73%,ADRB2;ADRB1;AKT3;PIK3CA;NPY;NPR1,KEGG_2021_Human,Regulation of lipolysis in adipocytes,0.8536049267199065,ns,False,Goldhamster
103,prerank,MSigDB_Hallmark_2020__UV Response Dn,-0.3722781285173218,-1.438424988051905,0.0,0.1645139360978926,0.838,51/131,22.95%,MET;NR3C1;AKT3;RASA2;ATRX;ADGRL2;ATP2B1;ATP2B4;ZMIZ1;MAGI2;SERPINE1;ABCC1;NIPBL;CDC42BPA;PTPRM;PTEN;APBB2;SFMBT1;NRP1;MMP16;COL1A1;ACVR2A;PMP22;RUNX1;INSIG1;PRKAR2B;FBLN5;RGS4;MTA1;PHF3;DLC1;PLPP3;ERBB2;SYNE1;SLC7A1;MIOS;NFIB;TJP1;CITED2;DYRK1A;LPAR1;ID1;SMAD7;DDAH1;AGGF1;DLG1;IRS1;CACNA1A;FZD2;RBPMS;SYNJ2,MSigDB_Hallmark_2020,UV Response Dn,0.7837973067470988,ns,False,Goldhamster
105,prerank,KEGG_2021_Human__Carbohydrate digestion and absorption,-0.4935811376550588,-1.4345745564228671,0.03558718861209965,0.16443604124178562,0.848,6/29,6.12%,HKDC1;SLC5A1;AKT3;PIK3CA;ATP1A1;PLCB1,KEGG_2021_Human,Carbohydrate digestion and absorption,0.7840029873012171,ns,False,Goldhamster
107,prerank,KEGG_2021_Human__Focal adhesion,-0.3644575758450651,-1.4230764472375248,0.0,0.17221844550192614,0.87,46/164,18.56%,THBS3;SOS2;JUN;CCND1;PIP5K1B;MET;GSK3B;AKT3;CTNNB1;ARHGAP5;PDGFA;PIK3CA;ROCK1;PAK6;PDGFB;COL6A3;KDR;ARHGAP35;PPP1R12C;PTEN;ROCK2;COL4A2;BCAR1;ELK1;PAK4;COL1A1;ITGA7;BRAF;COL6A5;BCL2;ITGA9;CRKL;PTK2;SOS1;CAV2;RHOA;ITGB6;CRK;MYLK3;COL4A1;ERBB2;RASGRF1;PPP1R12A;VTN;AKT1;LAMC2,KEGG_2021_Human,Focal adhesion,0.7639203351664011,ns,False,Goldhamster
112,prerank,KEGG_2021_Human__Bladder cancer,-0.46605270190473025,-1.388168947618734,0.05394190871369295,0.2147332080350835,0.919,12/36,16.80%,CCND1;FGFR3;CDH1;NRAS;KRAS;MMP2;MDM2;DAPK2;E2F2;BRAF;HBEGF;ERBB2,KEGG_2021_Human,Bladder cancer,0.668100787649624,ns,False,Goldhamster
113,prerank,KEGG_2021_Human__Glutamatergic synapse,-0.39546866489006327,-1.3755638534454562,0.012048192771084338,0.22640251205852838,0.93,33/70,27.28%,SLC1A1;PPP3CA;PPP3CB;GNAQ;HOMER1;GLS;ITPR2;PLCB1;GNB1;GNAO1;PPP3CC;ITPR3;GNG11;SLC38A2;SHANK2;ADCY4;PPP3R1;GLS2;HOMER3;PLCB3;SHANK3;CACNA1A;ADCY2;GNAI1;PLA2G4B;ADCY8;PRKCA;MAPK3;ADCY1;PLA2G4F;MAPK1;ADCY3;GNG3,KEGG_2021_Human,Glutamatergic synapse,0.6451187587244702,ns,False,Goldhamster
114,prerank,KEGG_2021_Human__Insulin secretion,-0.3955025985964947,-1.374018893243356,0.03571428571428571,0.22142911096004228,0.932,23/59,27.22%,GNAQ;ATP1A1;PLCB1;STX1A;CREB1;ITPR3;CREB3L1;TRPM4;ADCY4;CAMK2G;GNA11;PLCB3;RAPGEF4;CAMK2B;ADCY2;ATF2;PCLO;ADCY8;PRKCA;ADCY1;ADCY3;CREB5;CREB3L2,KEGG_2021_Human,Insulin secretion,0.6547652836460389,ns,False,Goldhamster
116,prerank,KEGG_2021_Human__mTOR signaling pathway,-0.3602958194759275,-1.3565195394604024,0.02631578947368421,0.24117931663818815,0.956,41/134,22.12%,SOS2;RPS6KA3;FZD8;RRAGA;GSK3B;LRP6;AKT3;NRAS;CAB39;FZD5;FZD6;PIK3CA;LPIN3;CLIP1;WNT16;KRAS;PTEN;SLC38A9;BRAF;DVL1;WNT2;RPS6KA2;SOS1;RHOA;FZD1;EIF4E;LPIN1;MIOS;AKT1;TSC2;GRB10;CHUK;SGK1;WNT11;DVL2;ATP6V1A;ATP6V1C2;FZD9;TSC1;IRS1;SEH1L,KEGG_2021_Human,mTOR signaling pathway,0.6176599397120881,ns,True,Goldhamster
119,prerank,KEGG_2021_Human__Biosynthesis of unsaturated fatty acids,-0.5334846070569964,-1.3469497660955954,0.10179640718562874,0.2494603265471633,0.964,8/18,23.40%,ACOT7;ELOVL1;ELOVL7;HACD1;ACOX1;ELOVL5;HSD17B4;HSD17B12,KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,0.6029985134941952,ns,False,Goldhamster
122,prerank,KEGG_2021_Human__GnRH secretion,-0.4406035509839812,-1.3301812573790388,0.09885931558935361,0.27214465419767936,0.973,14/39,18.16%,GNAQ;AKT3;NRAS;ITPR2;PIK3CA;PLCB1;KRAS;GPER1;ITPR3;GNRH1;GABBR1;GNA11;PLCB3;AKT1,KEGG_2021_Human,GnRH secretion,0.565200192213163,ns,False,Goldhamster
123,prerank,KEGG_2021_Human__MAPK signaling pathway,-0.31890627081364237,-1.3238567149993434,0.0,0.2754985270790845,0.974,61/231,16.98%,MAP3K2;PPM1A;SOS2;RPS6KA3;PPP3CA;MAP3K3;JUN;PPP3CB;FGFR3;MET;FGF1;RASA1;AKT3;NRAS;RASA2;NLK;JUND;MAP4K4;NTRK2;PDGFA;DUSP16;FGFR2;PDGFB;MAP3K5;KDR;KRAS;NF1;ELK4;PPP3CC;MAP4K2;ELK1;RASGRP3;PPM1B;MAP4K3;EFNA1;EPHA2;BRAF;FGF18;MAPK13;PTPRR;MAPT;MAPK12;KITLG;MRAS;TAOK1;RPS6KA2;IL1R1;DUSP3;CRKL;SOS1;PPP5C;CRK;CACNA2D2;CACNA2D1;PPP3R1;MECOM;EFNA4;MAP3K7;ERBB2;GNA12;RASGRF1,KEGG_2021_Human,MAPK signaling pathway,0.5598807187110559,ns,False,Goldhamster
125,prerank,KEGG_2021_Human__Relaxin signaling pathway,-0.36539832182127,-1.3192896793240902,0.04672897196261682,0.2768649168476729,0.978,44/108,27.63%,SOS2;JUN;AKT3;NRAS;RXFP1;PIK3CA;PLCB1;GNB1;PRKCZ;SMAD2;KRAS;GNAO1;COL4A2;MMP2;CREB1;COL1A1;CREB3L1;GNG11;MAPK13;MAPK12;ADCY4;SOS1;COL4A1;EDNRB;PLCB3;AKT1;ADCY2;GNAI1;ATF2;VEGFC;ADCY8;SHC2;MAPK11;MAP2K7;PRKCA;TGFBR1;MAPK3;ADCY1;MAPK1;ADCY3;CREB5;CREB3L2;GNG3;MAPK8,KEGG_2021_Human,Relaxin signaling pathway,0.557732072729579,ns,False,Goldhamster
126,prerank,KEGG_2021_Human__Estrogen signaling pathway,-0.3791836537434806,-1.3152479662048646,0.059322033898305086,0.2770386196626849,0.979,23/92,14.84%,SOS2;JUN;GNAQ;ESR1;NCOA1;AKT3;NRAS;KRT20;ITPR2;PIK3CA;PLCB1;KRT12;KRAS;GNAO1;MMP2;GPER1;CREB1;ITPR3;CREB3L1;BCL2;GABBR1;ADCY4;SOS1,KEGG_2021_Human,Estrogen signaling pathway,0.5574596853135354,ns,False,Goldhamster
127,prerank,KEGG_2021_Human__Endocrine and other factor-regulated calcium reabsorption,-0.4339789398174836,-1.314862080052524,0.09282700421940929,0.2711175754509668,0.979,6/38,6.12%,GNAQ;ESR1;ATP2B1;ATP2B4;ATP1A1;PLCB1,KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,0.5668423279600499,ns,True,Goldhamster
129,prerank,KEGG_2021_Human__Long-term potentiation,-0.4025189284072251,-1.3098224136150936,0.05583756345177665,0.2728302741898935,0.98,14/51,16.27%,RPS6KA3;PPP3CA;PPP3CB;GNAQ;NRAS;ITPR2;PLCB1;KRAS;PPP3CC;ITPR3;BRAF;RPS6KA2;CAMK2G;PPP3R1,KEGG_2021_Human,Long-term potentiation,0.5641074405253869,ns,False,Goldhamster
131,prerank,KEGG_2021_Human__Adipocytokine signaling pathway,-0.38796069473345046,-1.3046521417654995,0.078125,0.275463907143037,0.983,7/55,9.09%,CAMKK2;CPT1B;AKT3;ADIPOR1;NPY;CD36;SLC2A4,KEGG_2021_Human,Adipocytokine signaling pathway,0.5599352968320862,ns,True,Goldhamster
134,prerank,KEGG_2021_Human__ErbB signaling pathway,-0.37975927465255566,-1.2992884565814216,0.060240963855421686,0.2779288465896216,0.986,21/70,16.80%,SOS2;JUN;GSK3B;AKT3;NRAS;ABL2;PIK3CA;PAK6;KRAS;ELK1;PAK4;PLCG1;BRAF;NCK2;CRKL;PTK2;SOS1;CRK;CAMK2G;HBEGF;ERBB2,KEGG_2021_Human,ErbB signaling pathway,0.556066374904788,ns,False,Goldhamster
136,prerank,KEGG_2021_Human__Glucagon signaling pathway,-0.36374422553267616,-1.2941952217615735,0.06428571428571428,0.2801828254046314,0.987,23/80,19.74%,PPP3CA;PPP3CB;CPT1B;GNAQ;AKT3;ITPR2;SIRT1;PLCB1;LDHB;PPP3CC;CREB1;ITPR3;CREB3L1;FOXO1;PRKAG2;PYGM;CAMK2G;PPP3R1;PFKM;PLCB3;AKT1;G6PC3;PPP4R3B,KEGG_2021_Human,Glucagon signaling pathway,0.5525584895377456,ns,False,Goldhamster
138,prerank,KEGG_2021_Human__Fatty acid elongation,-0.4910897357495702,-1.290893884653955,0.14285714285714285,0.28031762217690154,0.988,4/20,5.17%,ACOT7;ELOVL1;ELOVL7;HADHB,KEGG_2021_Human,Fatty acid elongation,0.5523495994440569,ns,False,Goldhamster
139,prerank,KEGG_2021_Human__Melanoma,-0.3830393489542301,-1.2903273771197488,0.09278350515463918,0.2754616462492543,0.988,16/56,12.04%,CDK6;CCND1;MET;FGF1;CDH1;AKT3;NRAS;PDGFA;PIK3CA;PDGFB;KRAS;PTEN;MDM2;E2F2;BRAF;FGF18,KEGG_2021_Human,Melanoma,0.559938861356142,ns,False,Goldhamster
