,,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,members
Syrian hamster,1,TGF-beta signaling pathway,7/52,0.002084364291684107,0.024335971935866476,4.143833943833944,BMPR2;ACVR2A;ROCK1;SMAD7;ID3;ID1;BMP4,7
Syrian hamster,1,ECM-receptor interaction,6/39,0.002160670405520855,0.024335971935866476,4.764302503612016,ITGB1;LAMB2;CD36;COL4A2;ITGA1;COL4A1,6
Syrian hamster,1,GABAergic synapse,5/28,0.0025819016465466857,0.027626347618049538,5.575521996842701,GNG11;GABARAPL2;GABARAPL1;GNAI1;GNG5,5
Syrian hamster,1,Apical Junction,9/104,0.010513961946488851,0.03942735729933319,2.638867156939446,VCL;ITGB1;TJP1;GNAI1;CTNNA1;CD34;CLDN5;PECAM1;HRAS,9
Syrian hamster,1,Thyroid cancer,5/31,0.004097123728414321,0.03985383990366658,5.042741261756542,CCND1;GADD45G;GADD45B;TPR;HRAS,5
Syrian hamster,1,Human cytomegalovirus infection,12/142,0.004082417726584709,0.03985383990366658,2.561250953470633,CCND1;GNG11;GNAS;CXCL12;ROCK1;ARHGEF12;GNAI1;CALM2;GNG5;ROCK2;JAK1;HRAS,12
Syrian hamster,1,KRAS Signaling Up,9/107,0.01253394564618658,0.04338673492910739,2.5643117319777446,NRP1;GNG11;GADD45G;TSPAN7;SPARCL1;PECAM1;ENG;TMEM100;KLF4,9
Syrian hamster,1,Ras signaling pathway,11/127,0.00487500868123712,0.04535877642542364,2.6291297108098006,AFDN;GNG11;TEK;ETS2;RALA;RALBP1;PDGFB;KDR;CALM2;GNG5;HRAS,11
Syrian hamster,1,Hedgehog Signaling,3/15,0.014157413926342725,0.045505973334673044,6.489745960942175,NRP1;ETS2;DPYSL2,3
Syrian hamster,1,Renin secretion,5/33,0.005405884327431099,0.04627436984281021,4.74056711349872,GNAS;ADRB1;GNAI1;CALM2;AQP1,5
Syrian hamster,1,Neuroactive ligand-receptor interaction,5/33,0.005405884327431099,0.04627436984281021,4.74056711349872,APLNR;ADRB1;CALCRL;F2R;VIPR1,5
Syrian hamster,1,Circadian entrainment,5/35,0.006985318529223689,0.05090587227428307,4.472440756593893,GNG11;GNAS;GNAI1;CALM2;GNG5,5
Syrian hamster,1,Estrogen signaling pathway,7/65,0.0073742151425363325,0.05090587227428307,3.3163045605793697,HSP90AB1;JUN;GNAS;HSP90AA1;GNAI1;CALM2;HRAS,7
Syrian hamster,1,Proteoglycans in cancer,11/133,0.0068769959518020715,0.05090587227428307,2.5091750563095956,CAV2;CCND1;ITGB1;ROCK1;ARHGEF12;KDR;TIMP3;RDX;ROCK2;CAV1;HRAS,11
Syrian hamster,1,Regulation of actin cytoskeleton,11/134,0.007265519564466754,0.05090587227428307,2.4902231127547307,VCL;ITGB1;CXCL12;ROCK1;PDGFB;ARHGEF12;F2R;RDX;ROCK2;ITGA1;HRAS,11
Syrian hamster,1,Relaxin signaling pathway,8/80,0.006709429290678298,0.05090587227428307,3.0631984914183437,HRAS;JUN;GNG11;GNAS;GNAI1;GNG5;COL4A2;COL4A1,8
Syrian hamster,1,Oxytocin signaling pathway,8/79,0.0062222300954145925,0.05090587227428307,3.102096076464179,CCND1;JUN;GNAS;ROCK1;GNAI1;CALM2;ROCK2;HRAS,8
Syrian hamster,1,TNF-alpha Signaling via NF-kB,11/154,0.019250950197971517,0.05775285059391455,2.162704088214344,JUN;CCND1;TUBB2A;ETS2;HES1;GADD45B;KLF10;TSC22D1;KLF9;BTG2;KLF4,11
Syrian hamster,1,Kaposi sarcoma-associated herpesvirus infection,10/119,0.008767693524147075,0.05863395044273357,2.554794372059748,CCND1;JUN;GNG11;PDGFB;GABARAPL2;GABARAPL1;CALM2;GNG5;JAK1;HRAS,10
Syrian hamster,1,Bacterial invasion of epithelial cells,6/52,0.009228149621194705,0.05984315208895961,3.5790865579621967,CAV2;CLTB;VCL;ITGB1;CTNNA1;CAV1,6
Syrian hamster,1,Glioma,6/53,0.01010862669895843,0.06009016982158623,3.5117737903803596,CCND1;GADD45G;PDGFB;GADD45B;CALM2;HRAS,6
Syrian hamster,1,Alcoholism,6/53,0.01010862669895843,0.06009016982158623,3.5117737903803596,GNG11;GNAS;GNAI1;CALM2;GNG5;HRAS,6
Syrian hamster,1,MicroRNAs in cancer,9/103,0.009898384617245001,0.06009016982158623,2.6646794216202285,CCND1;BMPR2;CDKN1B;ROCK1;PDGFB;RDX;SOX4;TIMP3;HRAS,9
Syrian hamster,1,Hippo signaling pathway,8/87,0.010969658129697102,0.06344613080419405,2.815809850526832,CCND1;BMPR2;WWTR1;YWHAE;SMAD7;CTNNA1;ID1;BMP4,8
Syrian hamster,1,Arrhythmogenic right ventricular cardiomyopathy (ARVC),4/26,0.011998120973991541,0.06756836548511026,4.890623503495834,CTNNA1;ITGA1;LMNA;ITGB1,4
Syrian hamster,1,Amoebiasis,6/56,0.0131064740386989,0.07191757549439909,3.3241320046433795,HSPB1;VCL;GNAS;LAMB2;COL4A2;COL4A1,6
Syrian hamster,1,AGE-RAGE signaling pathway in diabetic complications,7/74,0.014618433708163684,0.07820862033867572,2.9125795904319394,JUN;CCND1;COL4A1;CDKN1B;THBD;COL4A2;HRAS,7
Syrian hamster,1,Serotonergic synapse,5/42,0.015012366547385848,0.07835723027172126,3.732727454309398,GNG11;GNAS;GNAI1;GNG5;HRAS,5
Syrian hamster,1,Pancreatic cancer,6/58,0.015420621818457372,0.07857173974166376,3.2097293204618587,CCND1;GADD45G;RALA;RALBP1;GADD45B;JAK1,6
Syrian hamster,1,Platelet activation,7/76,0.016745333847214064,0.08144321462054113,2.8357633651751297,ITGB1;GNAS;ROCK1;GNAI1;F2R;ROCK2;ARHGEF12,7
Syrian hamster,1,Renal cell carcinoma,6/59,0.016677703973495005,0.08144321462054113,3.1554120796529856,JUN;PDGFB;ELOC;EPAS1;ELOB;HRAS,6
Syrian hamster,1,Melanoma,5/44,0.01811463723571763,0.0861451637431905,3.5641250643825946,CCND1;GADD45G;PDGFB;GADD45B;HRAS,5
Syrian hamster,1,Gastric cancer,7/78,0.019082362694376496,0.08839566477304724,2.762861342479177,CCND1;CDKN1B;GADD45G;CTNNA1;GADD45B;CSNK1A1;HRAS,7
Syrian hamster,1,Human papillomavirus infection,13/195,0.01941400114174402,0.08839566477304724,2.01051137504854,CCND1;COL4A1;CDKN1B;ITGB1;GNAS;LAMB2;ATP6V0E1;COL4A2;HES1;CSNK1A1;JAK1;ITGA1;HRAS,13
Syrian hamster,1,Breast cancer,7/79,0.020332653363720025,0.09064974624658512,2.727785840993388,CCND1;JUN;GADD45G;HES1;GADD45B;CSNK1A1;HRAS,7
Syrian hamster,1,cGMP-PKG signaling pathway,7/80,0.021638989918669218,0.09431522780161944,2.6935817805383024,ATP2B4;ROCK1;ADRB1;GNAI1;MEF2A;CALM2;ROCK2,7
Syrian hamster,1,Morphine addiction,4/31,0.022036268177948466,0.09431522780161944,4.111916847957457,GNAI1;GNG11;GNAS;GNG5,4
Syrian hamster,1,Hypertrophic cardiomyopathy (HCM),4/32,0.024510113410680073,0.09896536358274596,3.9849277625927373,TPM4;ITGA1;LMNA;ITGB1,4
Syrian hamster,1,Adrenergic signaling in cardiomyocytes,6/64,0.024028404403375073,0.09896536358274596,2.909089708542979,ATP2B4;GNAS;TPM4;ADRB1;GNAI1;CALM2,6
Syrian hamster,1,Salivary secretion,4/32,0.024510113410680073,0.09896536358274596,3.9849277625927373,ATP2B4;ADRB1;CALM2;GNAS,4
Syrian hamster,1,Angiogenesis,3/21,0.03547431981977038,0.0997715244931042,4.67535981803208,NRP1;LPL;THBD,3
Syrian hamster,1,Endometrial cancer,5/48,0.02552362948721028,0.10114919833820372,3.26863633976861,CCND1;GADD45G;CTNNA1;GADD45B;HRAS,5
Syrian hamster,1,Cocaine addiction,3/19,0.027202187468692882,0.1058412385145505,5.1560946080339,GNAI1;JUN;GNAS,3
Syrian hamster,1,Colorectal cancer,6/67,0.029343585702370986,0.11210912106340518,2.778812543378131,JUN;CCND1;GADD45G;RALA;GADD45B;HRAS,6
Syrian hamster,1,Adherens junction,5/50,0.029860840657075206,0.11210912106340518,3.1384457630822507,AFDN;VCL;TJP1;CTNNA1;PTPRM,5
Syrian hamster,1,FoxO signaling pathway,7/86,0.030713388653324968,0.11332181330709558,2.504965169705054,CCND1;CDKN1B;GADD45G;GABARAPL2;GABARAPL1;GADD45B;HRAS,7
Syrian hamster,1,Dopaminergic synapse,6/68,0.031273836836499584,0.1134339166612019,2.7379226302242006,GNG11;GNAS;GNAI1;KIF5B;CALM2;GNG5,6
Syrian hamster,1,Prostate cancer,6/69,0.03328519351347972,0.11871719019807768,2.6982094052185848,HSP90AB1;CCND1;CDKN1B;PDGFB;HSP90AA1;HRAS,6
Syrian hamster,1,Phagosome,7/88,0.03423238191976356,0.12009393001359678,2.447776329132261,TUBB6;TUBB4B;TUBB2A;ITGB1;ATP6V0E1;CD36;DYNC1I2,7
Syrian hamster,1,Mitophagy,5/54,0.03985890491021533,0.13757751049654968,2.906730424759739,JUN;TAX1BP1;GABARAPL2;GABARAPL1;HRAS,5
Syrian hamster,1,Salmonella infection,5/56,0.04553566922485151,0.15281192209583264,2.803176224889944,JUN;ROCK1;TJP1;DYNC1I2;ROCK2,5
Syrian hamster,1,Proximal tubule bicarbonate reclamation,2/10,0.04570076174828639,0.15281192209583264,6.823929571828732,CA4;AQP1,2
Syrian hamster,1,Cell cycle,6/78,0.05517437116300273,0.1816510065981936,2.3863214661617422,CCND1;CDKN1B;GADD45G;YWHAE;GADD45B;SMC3,6
Syrian hamster,1,Cellular senescence,7/101,0.06362524832381887,0.18623589968814563,2.1309839585701655,CCND1;GADD45G;ZFP36L1;GADD45B;CALM2;CAPN2;HRAS,7
Syrian hamster,1,Rheumatoid arthritis,4/44,0.06701011343919258,0.18623589968814563,2.90623395882051,TEK;JUN;ATP6V0E1;CXCL12,4
Syrian hamster,1,Pertussis,4/44,0.06701011343919258,0.18623589968814563,2.90623395882051,GNAI1;JUN;CALM2;ITGB1,4
Syrian hamster,1,Basal cell carcinoma,3/26,0.061076644583952205,0.18623589968814563,3.7909892137834484,GADD45G;GADD45B;BMP4,3
Syrian hamster,1,Viral myocarditis,3/26,0.061076644583952205,0.18623589968814563,3.7909892137834484,CCND1;CAV1;EIF4G2,3
Syrian hamster,1,Apoptosis,7/100,0.06094931068758248,0.18623589968814563,2.1524429136369436,JUN;GADD45G;SPTAN1;GADD45B;CAPN2;LMNA;HRAS,7
Syrian hamster,1,Malaria,3/27,0.06699807514993655,0.18623589968814563,3.6527058102100263,CD81;CD36;PECAM1,3
Syrian hamster,1,Regulation of lipolysis in adipocytes,3/26,0.061076644583952205,0.18623589968814563,3.7909892137834484,GNAI1;ADRB1;GNAS,3
Syrian hamster,1,Retrograde endocannabinoid signaling,6/79,0.05803807399582047,0.18623589968814563,2.3560262715223983,GNG11;NDUFA4;NDUFS5;GNAI1;ND4;GNG5,6
Syrian hamster,1,Protein digestion and absorption,3/27,0.06699807514993655,0.18623589968814563,3.6527058102100263,COL4A2;DPP4;COL4A1,3
Syrian hamster,1,Glutamatergic synapse,4/43,0.06256507014796753,0.18623589968814563,2.973394013653072,GNAI1;GNG11;GNAS;GNG5,4
Syrian hamster,1,Hematopoietic cell lineage,4/44,0.06701011343919258,0.18623589968814563,2.90623395882051,CD36;CD34;ITGA1;CD59,4
Syrian hamster,1,Transcriptional misregulation in cancer,7/104,0.07207654687509764,0.19729464829421897,2.0690712795975954,CDKN1B;GADD45G;TSPAN7;GADD45B;HPGD;FUS;KLF3,7
Syrian hamster,1,Chronic myeloid leukemia,5/64,0.07283307109926775,0.19729464829421897,2.4531790842447454,CCND1;CDKN1B;GADD45G;GADD45B;HRAS,5
Syrian hamster,1,Fatty Acid Metabolism,7/105,0.07503498002182353,0.1986220059401211,2.049216186656945,CA4;FMO1;HSP90AA1;LTC4S;GABARAPL1;CD36;HPGD,7
Syrian hamster,1,Melanogenesis,4/46,0.07637676422526235,0.20359059083683959,2.780579662682168,GNAI1;CALM2;GNAS;HRAS,4
Syrian hamster,1,Oxidative phosphorylation,6/85,0.07705998998964489,0.20359059083683959,2.189136953684609,NDUFA4;ATP5PF;ATP6V0E1;ND4;NDUFS5;COX1,6
Syrian hamster,1,PPAR signaling pathway,3/30,0.08623869883648179,0.21002179881006774,3.292262184502253,UBC;CD36;LPL,3
Syrian hamster,1,Complement and coagulation cascades,3/30,0.08623869883648179,0.21002179881006774,3.292262184502253,THBD;CD59;F2R,3
Syrian hamster,1,Epithelial cell signaling in Helicobacter pylori infection,4/48,0.08636410418357926,0.21002179881006774,2.665288607462452,TJP1;JUN;F11R;ATP6V0E1,4
Syrian hamster,1,Cardiac muscle contraction,2/14,0.08435807518514503,0.21002179881006774,4.939148073022312,COX1;TPM4,2
Syrian hamster,1,Calcium signaling pathway,5/66,0.08079715484674956,0.21002179881006774,2.3788375863257465,ATP2B4;GNAS;ADRB1;CALM2;F2R,5
Syrian hamster,1,Gastric acid secretion,3/30,0.08623869883648179,0.21002179881006774,3.292262184502253,GNAI1;CALM2;GNAS,3
Syrian hamster,1,Amphetamine addiction,3/30,0.08623869883648179,0.21002179881006774,3.292262184502253,JUN;CALM2;GNAS,3
Syrian hamster,1,Chemokine signaling pathway,7/110,0.09088381508662882,0.21752316145061545,1.955331244924005,GNG11;CXCL12;ROCK1;GNAI1;GNG5;ROCK2;HRAS,7
Syrian hamster,1,Parkinson disease,6/89,0.09148170341381023,0.21752316145061545,2.0903086425627895,NDUFA4;ATP5PF;GNAI1;ND4;NDUFS5;COX1,6
Syrian hamster,1,Alzheimer disease,7/111,0.09426353225637242,0.22167468025124942,1.9375646774749913,NDUFA4;ATP5PF;CALM2;NDUFS5;COX1;CAPN2;LPL,7
Syrian hamster,1,Androgen Response,5/70,0.09805188494500391,0.23222814855395663,2.242808462473961,ADAMTS1;CCND1;ARID5B;TSC22D1;HPGD,5
Syrian hamster,1,G2-M Checkpoint,7/112,0.09771254580596608,0.23222814855395663,1.92011396011396,NCL;CCND1;CDKN1B;PRPF4B;KIF5B;PAFAH1B1;PURA,7
Syrian hamster,1,GnRH signaling pathway,4/51,0.10246278410507074,0.2332663382817568,2.5091419841308955,JUN;CALM2;GNAS;HRAS,4
Syrian hamster,1,Non-small cell lung cancer,4/51,0.10246278410507074,0.2332663382817568,2.5091419841308955,GADD45G;CCND1;GADD45B;HRAS,4
Syrian hamster,1,Human immunodeficiency virus 1 infection,8/136,0.10441384664353627,0.2352059282285975,1.7945387945387945,JUN;GNG11;ELOB;ELOC;GNAI1;CALM2;GNG5;HRAS,8
Syrian hamster,1,Cholinergic synapse,4/53,0.11390470055034406,0.2511867052537247,2.414772996821481,GNAI1;HRAS;GNG11;GNG5,4
Syrian hamster,1,Shigellosis,4/53,0.11390470055034406,0.2511867052537247,2.414772996821481,ROCK1;ROCK2;VCL;ITGB1,4
Syrian hamster,1,Long-term depression,3/34,0.11502942577039729,0.2511867052537247,2.9091820025906103,GNAI1;GNAS;HRAS,3
Syrian hamster,1,NOD-like receptor signaling pathway,6/97,0.12435416216996764,0.2688059667108392,1.9169789892106757,HSP90AB1;JUN;HSP90AA1;GABARAPL2;GABARAPL1;JAK1,6
Syrian hamster,1,Bile secretion,2/18,0.12961406778631424,0.2773741050627125,3.8694072223483986,AQP1;GNAS,2
Syrian hamster,1,Vibrio cholerae infection,3/37,0.13866436427596984,0.28809877626269464,2.675503091624508,TJP1;ATP6V0E1;GNAS,3
Syrian hamster,1,Wnt signaling pathway,5/79,0.14293246286522707,0.29411102935729416,1.9867913850359313,JUN;CCND1;DAAM1;CSNK1A1;ROCK2,5
Syrian hamster,1,Lysine degradation,3/38,0.14688248551329228,0.2967906739680636,2.605702897439828,ALDH2;KMT2E;ASH1L,3
Syrian hamster,1,Necroptosis,5/80,0.1483953369840318,0.2967906739680636,1.961878750171361,HSP90AB1;HMGB1;HSP90AA1;CAPN2;JAK1,5
Syrian hamster,1,Hepatitis C,6/102,0.14746137489928335,0.2967906739680636,1.82238750155815,CCND1;YWHAE;CLDN5;CD81;JAK1;HRAS,6
Syrian hamster,1,Protein export,2/20,0.1539368510486857,0.30502301967054396,3.491084238573478,SRPRA;SEC62,2
Syrian hamster,1,Xenobiotic Metabolism,6/101,0.14269139444773557,0.309256666809219,1.8405602504175023,FMO1;ETS2;ALDH2;DDAH2;GABARAPL1;CD36,6
Syrian hamster,1,Hypoxia,7/124,0.1443197778443022,0.309256666809219,1.732571310884564,CAVIN1;JUN;CDKN1B;TGM2;PDGFB;LXN;CAV1,7
Syrian hamster,1,Autophagy,6/105,0.1621953956120662,0.3184386666145153,1.76993629750438,HMGB1;SH3GLB1;GABARAPL2;GABARAPL1;RB1CC1;HRAS,6
Syrian hamster,1,Leishmaniasis,3/40,0.16377268375762266,0.31861231203755686,2.47644327857931,JAK1;JUN;ITGB1,3
Syrian hamster,1,Complement,7/127,0.15739442054086322,0.32194313292449295,1.6912016088486677,CSRP1;PDGFB;DPP4;CD36;ATOX1;COL4A2;CD59,7
Syrian hamster,1,Notch Signaling,2/22,0.17904313147190662,0.3245980434751307,3.180018674136321,HES1;CCND1,2
Syrian hamster,1,heme Metabolism,7/129,0.1664026709921067,0.3245980434751307,1.6646866646866647,TNS1;KLF3;DAAM1;BCAM;BTG2;NFE2L1;ARHGEF12,7
Syrian hamster,1,IL-2/STAT5 Signaling,7/132,0.18033224637507264,0.3245980434751307,1.6264150943396227,NRP1;BMPR2;TGM2;GABARAPL1;GADD45B;CD81;MYO1C,7
Syrian hamster,1,Aldosterone synthesis and secretion,3/41,0.17242627740499922,0.33242543571774624,2.416485503565696,ATP2B4;CALM2;GNAS,3
Syrian hamster,1,MAPK signaling pathway,9/179,0.17625255207485477,0.33609850995603524,1.5226125352983761,HSPB1;JUN;TEK;GADD45G;PDGFB;GADD45B;KDR;MAP4K3;HRAS,9
Syrian hamster,1,Endocrine and other factor-regulated calcium reabsorption,2/22,0.17904313147190662,0.33609850995603524,3.180018674136321,CLTB;GNAS,2
Syrian hamster,1,Cholesterol metabolism,2/22,0.17904313147190662,0.33609850995603524,3.180018674136321,CD36;LPL,2
Syrian hamster,1,Cytokine-cytokine receptor interaction,5/86,0.18293027058568398,0.33747480952876185,1.8244992492418814,BMPR2;ACVR2A;CXCL12;ACVRL1;BMP4,5
Syrian hamster,1,Phospholipase D signaling pathway,5/86,0.18293027058568398,0.33747480952876185,1.8244992492418814,GNAS;RALA;PDGFB;F2R;HRAS,5
Syrian hamster,1,Thermogenesis,7/133,0.18508232911302458,0.33852665324946374,1.6140401421300297,NDUFA4;GNAS;ATP5PF;ND4;NDUFS5;COX1;HRAS,7
Syrian hamster,1,Epstein-Barr virus infection,7/134,0.18988396398531063,0.3435644945371651,1.6018492040796874,JUN;CCND1;CDKN1B;GADD45G;HES1;GADD45B;JAK1,7
Syrian hamster,1,Hedgehog signaling pathway,2/23,0.19181961130390607,0.3435644945371651,3.044341140711604,CSNK1A1;CCND1,2
Syrian hamster,1,p53 signaling pathway,3/44,0.19911170158681382,0.34505170448246736,2.2527805672925707,GADD45G;CCND1;GADD45B,3
Syrian hamster,1,Th17 cell differentiation,4/66,0.19993650166273808,0.34505170448246736,1.9397351246135643,HSP90AB1;JAK1;JUN;HSP90AA1,4
Syrian hamster,1,Toxoplasmosis,4/66,0.19993650166273808,0.34505170448246736,1.9397351246135643,GNAI1;JAK1;ITGB1;LAMB2,4
Syrian hamster,1,VEGF signaling pathway,3/44,0.19911170158681382,0.34505170448246736,2.2527805672925707,HSPB1;KDR;HRAS,3
Syrian hamster,1,IL-17 signaling pathway,3/47,0.22669800316650462,0.3851179453129073,2.109754149285524,HSP90AB1;JUN;HSP90AA1,3
Syrian hamster,1,Viral carcinogenesis,6/117,0.22675168742722576,0.3851179453129073,1.5869150748486716,JUN;CCND1;CDKN1B;YWHAE;JAK1;HRAS,6
Syrian hamster,1,HIF-1 signaling pathway,4/70,0.22957877293368975,0.3868492709276347,1.828815206825791,TEK;ELOB;CDKN1B;ELOC,4
Syrian hamster,1,Cushing syndrome,4/71,0.2371575071982674,0.39342408170875365,1.803024386780732,GNAI1;CCND1;CDKN1B;GNAS,4
Syrian hamster,1,C-type lectin receptor signaling pathway,4/71,0.2371575071982674,0.39342408170875365,1.803024386780732,JUN;ARHGEF12;CALM2;HRAS,4
Syrian hamster,1,Huntington disease,6/120,0.24406835971799148,0.4017740690742322,1.546855450387723,CLTB;NDUFA4;TGM2;ATP5PF;NDUFS5;COX1,6
Syrian hamster,1,Glycerolipid metabolism,2/28,0.25697302412928535,0.4166077815429323,2.508771929824561,ALDH2;LPL,2
